привіт*|Привіт
добрий день*|Добрий день
добрий ранок*|Добрий ранок
добрий вечір*|Добрий вечір
доброго дня*|Добрий день
доброго ранку*|Добрий ранок
доброго вечора*|Добрий вечір
як справи*|Добре, а у вас як?
як справи|Усе гаразд, як ваші справи?
як ся маєте?|Непогано, як ви почуваєтесь?
*звуть*|Мене звати Петро
*звати*|Мене звати Кирило Тимошенко
*зовуть*|Мене звати Володимир
я вважаю*|Я так не вважаю
*зроби*|Що б ти не казав, це для мене - не цікаво
ти*|Дякую, ти теж)
ти знаєш*|Вибач, не знаю
ти знав*|Вибач, не знав
ти любиш*|Я краще залишу це в секреті
ти любиш*|я краще залишу це в секреті
*путін*|Не згадуй путіна, бо він він - х...о
навіщо*|Якщо б я знав...
*2+2*|Одне, що я зрозумів, це те, що 2+2=4
*2 + 2*|Одне, що я зрозумів, це те, що 2+2=4 
*люблю$w*|Мені також подобається $w!
*обожнюю$w*|Мені також подобається $w!
*ненавид*|Одне, що я ненавиджу, так це коли ми починаємо якісь дивні діалоги
*був у$w*|Був у $w? Звучить чудово
*був в$w*|Був в $w? Звучить класно
*повинен*|Ти справді так думаєш?
*повинен*|Чому ти так думаєш?
*повинен*|Ви впевнені в цьому?
*повинен*|Я не впевнений у цьому
*може*|Чому ти так думаєш?
*можна*|Як ти прийшов до цього?
*повинен*|Справді?
*повинен*|Ви впевнені в цьому?
*повинен*|Справді?
*повинен*|Ви впевнені?
*може*|Ні, не думаю
чому*|Я не знаю
чому*|Це всі знають!
чому*|Звідки я маю знати?
що*|Нічого
що*|На жаль, я не знаю
що*|Я вам схожий на Google?
коли*|На жаль, я не знаю
коли*|Це не твоя справа
де*|Це не твоя справа
де*|На жаль, я не знаю
хто*|Хто знає
хто*|Я не знаю цю людину
хто*|Можливо, це я
як*|Ніяк
як*|Хтозна
чи*|Так чи ні, якщо я відповім, це нічого не змінить
це*|Якби я знав, то відповів би
чим*|Нічим
де*|Вдома
де*|Можливо, в Україні
*)|:-)
*(|Сумно
*(|:-(
*|Як ви себе почуваєте?
*|Давайте поговоримо про інше
*|Краще розкажи мені більше про себе
*|Не зовсім зрозумів, що ви тут маєте на увазі
*|Я би змінив тему
*|Засуджую сказане
*|Чому б тобі не вимкнути програму?
*|Це звісно цікаво, але чому Шуфрича давно не били?
*|Не було б таких думок, не було б і мене, тому дякую 
*|Це мене засмучує
